District,Type,A24,A5P,MH,SFA,SFD,GQ
159,Rural,0,0,0,0,0,0
159,Town,0,0,0,0,0,0
160,Metropolitan,3,75,1,3,40,0
160,Rural,0,0,0,0,0,0
160,Town,0,0,0,0,0,0
161,Metropolitan,4,187,1,18,91,0
161,Rural,0,0,0,0,0,0
161,Town,0,0,0,0,0,0
162,Metropolitan,4,238,4,22,145,0
162,Rural,0,0,0,0,0,0
162,Town,0,0,0,0,0,0
163,Metropolitan,2,121,1,10,66,0
163,Rural,0,0,0,0,0,0
163,Town,0,0,0,0,0,0
164,Metropolitan,2,66,0,2,35,0
164,Rural,0,0,0,0,0,0
164,Town,0,0,0,0,0,0
165,Metropolitan,5,207,0,25,157,0
165,Rural,0,0,0,0,0,0
165,Town,0,0,0,0,0,0
166,Metropolitan,3,465,1,122,489,0
166,Rural,0,0,0,0,0,0
166,Town,0,0,0,0,0,0
167,Metropolitan,3,116,1,14,188,0
167,Rural,0,0,0,0,0,0
167,Town,0,0,0,0,0,0
168,Metropolitan,7,541,5,160,880,0
168,Rural,0,0,0,0,0,0
168,Town,0,0,0,0,0,0
169,Metropolitan,4,231,1,93,921,0
169,Rural,0,0,0,0,0,0
169,Town,0,0,0,0,0,0
170,Metropolitan,9,762,6,245,1491,0
170,Rural,0,0,0,0,0,0
170,Town,0,0,0,0,0,0
171,Metropolitan,4,440,1,124,647,0
171,Rural,0,0,0,0,0,0
171,Town,0,0,0,0,0,0
172,Metropolitan,0,0,0,0,10,0
172,Rural,0,0,0,0,0,0
172,Town,0,0,0,0,0,0
173,Metropolitan,3,317,3,111,721,0
173,Rural,0,0,0,0,0,0
173,Town,0,0,0,0,0,0
174,Metropolitan,7,514,3,196,1292,0
174,Rural,0,0,0,0,0,0
174,Town,0,0,0,0,0,0
175,Metropolitan,3,220,1,37,530,0
175,Rural,0,0,0,0,0,0
175,Town,0,0,0,0,0,0
176,Metropolitan,6,237,2,88,984,0
176,Rural,0,0,0,0,0,0
176,Town,0,0,0,0,0,0
177,Metropolitan,3,130,0,60,892,0
177,Rural,0,0,0,0,0,0
177,Town,0,0,0,0,0,0
178,Metropolitan,5,293,1,117,521,0
178,Rural,0,0,0,0,0,0
178,Town,0,0,0,0,0,0
179,Metropolitan,5,165,0,24,209,0
179,Rural,0,0,0,0,0,0
179,Town,0,0,0,0,0,0
180,Metropolitan,2,208,0,50,618,0
180,Rural,0,0,0,0,0,0
180,Town,0,0,0,0,0,0
181,Metropolitan,2,152,1,45,900,0
181,Rural,0,0,0,0,0,0
181,Town,0,0,0,0,0,0
182,Metropolitan,14,895,6,272,949,0
182,Rural,0,0,0,0,0,0
182,Town,0,0,0,0,0,0
183,Metropolitan,4,239,2,64,491,0
183,Rural,0,0,0,0,0,0
183,Town,0,0,0,0,0,0
184,Metropolitan,4,240,0,59,464,0
184,Rural,0,0,0,0,0,0
184,Town,0,0,0,0,0,0
185,Metropolitan,8,261,2,92,786,0
185,Rural,0,0,0,0,0,0
185,Town,0,0,0,0,0,0
186,Metropolitan,1,140,1,33,399,0
186,Rural,0,0,0,0,0,0
186,Town,0,0,0,0,0,0
187,Metropolitan,3,35,1,9,84,0
187,Rural,0,0,0,0,0,0
187,Town,0,0,0,0,0,0
188,Metropolitan,3,87,1,16,256,0
188,Rural,0,0,0,0,0,0
188,Town,0,0,0,0,0,0
189,Metropolitan,1,82,0,20,350,0
189,Rural,0,0,0,0,0,0
189,Town,0,0,0,0,0,0
190,Metropolitan,3,133,1,37,528,0
190,Rural,0,0,0,0,0,0
190,Town,0,0,0,0,0,0
191,Metropolitan,4,99,0,23,278,0
191,Rural,0,0,0,0,0,0
191,Town,0,0,0,0,0,0
192,Metropolitan,3,101,1,15,207,0
192,Rural,0,0,0,0,0,0
192,Town,0,0,0,0,0,0
193,Metropolitan,5,570,2,173,533,0
193,Rural,0,0,0,0,0,0
193,Town,0,0,0,0,0,0
194,Metropolitan,7,491,3,130,585,0
194,Rural,0,0,0,0,0,0
194,Town,0,0,0,0,0,0
195,Metropolitan,11,594,5,144,664,0
195,Rural,0,0,0,0,0,0
195,Town,0,0,0,0,0,0
196,Metropolitan,4,416,1,99,333,0
196,Rural,0,0,0,0,0,0
196,Town,0,0,0,0,0,0
197,Metropolitan,11,985,5,318,1121,0
197,Rural,0,0,0,0,0,0
197,Town,0,0,0,0,0,0
198,Metropolitan,10,1221,4,383,1205,0
198,Rural,0,0,0,0,0,0
198,Town,0,0,0,0,0,0
199,Metropolitan,11,828,4,266,705,0
199,Rural,0,0,0,0,0,0
199,Town,0,0,0,0,0,0
200,Metropolitan,7,553,4,153,550,0
200,Rural,0,0,0,0,0,0
200,Town,0,0,0,0,0,0
201,Metropolitan,7,411,3,89,355,0
201,Rural,0,0,0,0,0,0
201,Town,0,0,0,0,0,0
202,Metropolitan,3,75,1,5,107,0
202,Rural,0,0,0,0,0,0
202,Town,0,0,0,0,0,0
203,Metropolitan,1,13,0,1,11,0
203,Rural,0,0,0,0,0,0
203,Town,0,0,0,0,0,0
204,Metropolitan,5,174,0,30,146,0
204,Rural,0,0,0,0,0,0
204,Town,0,0,0,0,0,0
205,Metropolitan,5,173,0,25,124,0
205,Rural,0,0,0,0,0,0
205,Town,0,0,0,0,0,0
206,Metropolitan,8,473,1,166,719,0
206,Rural,0,0,0,0,0,0
206,Town,0,0,0,0,0,0
207,Metropolitan,6,392,0,135,504,0
207,Rural,0,0,0,0,0,0
207,Town,0,0,0,0,0,0
208,Metropolitan,0,1,0,0,10,0
208,Rural,0,0,0,0,0,0
208,Town,0,0,0,0,0,0
209,Metropolitan,0,0,0,0,10,0
209,Rural,0,0,0,0,0,0
209,Town,0,0,0,0,0,0
210,Metropolitan,0,4,1,0,7,0
210,Rural,0,0,0,0,0,0
210,Town,0,0,0,0,0,0
211,Metropolitan,0,0,0,0,10,0
211,Rural,0,0,0,0,0,0
211,Town,0,0,0,0,0,0
212,Metropolitan,4,204,0,33,175,0
212,Rural,0,0,0,0,0,0
212,Town,0,0,0,0,0,0
213,Metropolitan,4,172,0,21,107,0
213,Rural,0,0,0,0,0,0
213,Town,0,0,0,0,0,0
214,Metropolitan,7,500,3,145,669,0
214,Rural,0,0,0,0,0,0
214,Town,0,0,0,0,0,0
